product_name,brand,category,food_type,store_name,price,date_checked,estimated_delivery_days
"Sensitive Skin & Stomach Large Breed Dog Food Salmon 34.4 lb Bag","Purina Pro Plan","Dog Food",Dry,Petco,97.98,2026-07-21,3
"Sensitive Skin & Stomach Large Breed Dog Food Salmon 34.4 lb Bag","Purina Pro Plan","Dog Food",Dry,PetSmart,97.98,2026-07-21,2
"Sensitive Skin & Stomach Large Breed Dog Food Salmon 34.4 lb Bag","Purina Pro Plan","Dog Food",Dry,Ebay,65.99,2026-07-21,5
"Sensitive Skin & Stomach Large Breed Dog Food Salmon 34.4 lb Bag","Purina Pro Plan","Dog Food",Dry,Chewy,97.98,2026-07-21,2
"Sensitive Skin & Stomach Large Breed Dog Food Salmon 34.4 lb Bag","Purina Pro Plan","Dog Food",Dry,Amazon,97.98,2026-07-21,0
"Powder for Dogs & Cats, 12-oz","PanaKare Plus",Medicine,NULL,Chewy,227.72,2026-07-21,4
"Powder for Dogs & Cats, 12-oz","PanaKare Plus",Medicine,NULL,Petco,125.96,2026-07-21,4
"Tender Selects Blend with Real Chicken Natural Dry Cat Food, 22 lb Bag","Purina ONE ","Cat Food",Dry,Walmart,41.78,2026-07-21,0
"Tender Selects Blend with Real Chicken Natural Dry Cat Food, 22 lb Bag","Purina ONE ","Cat Food",Dry,Petco,44.99,2026-07-21,2
"Tender Selects Blend with Real Chicken Natural Dry Cat Food, 22 lb Bag","Purina ONE ","Cat Food",Dry,PetSmart,44.99,2026-07-21,2
"Tender Selects Blend with Real Chicken Natural Dry Cat Food, 22 lb Bag","Purina ONE ","Cat Food",Dry,Ebay,39.99,2026-07-21,5
"Tender Selects Blend with Real Chicken Natural Dry Cat Food, 22 lb Bag","Purina ONE ","Cat Food",Dry,Chewy,41.78,2026-07-21,2
"Tender Selects Blend with Real Chicken Natural Dry Cat Food, 22 lb Bag","Purina ONE ","Cat Food",Dry,"Pet Supplies Plus",42.99,2026-07-21,2
"Tender Selects Blend with Real Chicken Natural Dry Cat Food, 22 lb Bag","Purina ONE ","Cat Food",Dry,Walmart,41.78,2026-07-21,0
"Natural Chicken, Tuna, Salmon & Trout Variety Pack High Protein, 3-oz, 24 Count","Purina ONE","Cat Food",Wet,Walmart,32.88,2026-07-21,0
"Natural Chicken, Tuna, Salmon & Trout Variety Pack High Protein, 3-oz, 24 Count","Purina ONE","Cat Food",Wet,Petco,32.88,2026-07-21,3
"Natural Chicken, Tuna, Salmon & Trout Variety Pack High Protein, 3-oz, 24 Count","Purina ONE","Cat Food",Wet,PetSmart,32.88,2026-07-21,2
"Natural Chicken, Tuna, Salmon & Trout Variety Pack High Protein, 3-oz, 24 Count","Purina ONE","Cat Food",Wet,Ebay,29.99,2026-07-21,5
"Natural Chicken, Tuna, Salmon & Trout Variety Pack High Protein, 3-oz, 24 Count","Purina ONE","Cat Food",Wet,Chewy,33.67,2026-07-21,2
